Date : 2022-07-17 00:44:49
Directory : h:\前端工程
Total : 89 files,  53932 codes, 4282 comments, 24517 blanks, all 82731 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |          2 |     51,221 |      4,270 |     24,325 |     79,816 |
| HTML       |         55 |      1,858 |          2 |        116 |      1,976 |
| CSS        |         30 |        851 |         10 |         75 |        936 |
| Markdown   |          1 |          1 |          0 |          1 |          2 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |         89 |     53,932 |      4,282 |     24,517 |     82,731 |
| ThreeJS实验                                                     |          3 |     51,266 |      4,270 |     24,328 |     79,864 |
| 前端基础课程                                                        |          3 |        131 |          0 |          4 |        135 |
| 前端基础课程\CSS                                                    |          1 |          5 |          0 |          0 |          5 |
| 前端练习(CSS)-CSSTooltip                                          |          2 |         43 |          0 |          0 |         43 |
| 前端练习(CSS)-CSSTooltip\CSS                                      |          1 |         25 |          0 |          0 |         25 |
| 前端练习(CSS)-CSS列表，背景，表格样式                                       |          3 |        138 |          0 |         15 |        153 |
| 前端练习(CSS)-CSS列表，背景，表格样式\CSS                                   |          1 |         51 |          0 |          3 |         54 |
| 前端练习(CSS)-CSS动画                                               |          2 |         35 |          8 |          7 |         50 |
| 前端练习(CSS)-CSS动画\CSS                                           |          1 |         19 |          8 |          4 |         31 |
| 前端练习(CSS)-CSS定位                                               |          2 |         31 |          2 |          3 |         36 |
| 前端练习(CSS)-CSS定位\CSS                                           |          1 |         15 |          2 |          2 |         19 |
| 前端练习(CSS)-CSS布局                                               |          2 |        148 |          0 |         16 |        164 |
| 前端练习(CSS)-CSS布局\CSS                                           |          1 |         63 |          0 |          9 |         72 |
| 前端练习(CSS)-CSS文本样式练习                                           |          2 |         64 |          0 |          5 |         69 |
